tau,scale_factor_a
5e-05,1.9999968749926778
0.025050000000000204,1.9984325332495778
0.05005000000000092,1.9968645092286452
0.0750499999999999,1.9952927826416649
0.10004999999999714,1.993717333024203
0.1250499999999944,1.992138139733525
0.15004999999999163,1.9905551819464644
0.17504999999998888,1.9889684386572708
0.20004999999998613,1.9873778886754054
0.22504999999998337,1.985783510623336
0.2500499999999806,1.9841852829342685
0.27504999999997787,1.982583183849852
0.3000499999999751,1.9809771914178615
0.32504999999997236,1.979367283489827
0.3500499999999696,1.9777534377186372
0.37504999999996685,1.9761356315560934
0.4000499999999641,1.9745138422504471
0.42504999999996135,1.9728880468438823
0.4500499999999586,1.9712582221699524
0.47504999999995584,1.9696243448509991
0.5000499999999531,1.9679863912955093
0.5250499999999504,1.9663443376954466
0.5500499999999476,1.9646981600235167
0.5750499999999449,1.9630478340304238
0.6000499999999421,1.961393335242048
0.6250499999999394,1.9597346389566108
0.6500499999999366,1.9580717202417626
0.6750499999999339,1.9564045539316353
0.7000499999999311,1.954733114623865
0.7250499999999284,1.9530573766765398
0.7500499999999256,1.951377314205114
0.7750499999999229,1.9496929010792645
0.8000499999999201,1.9480041109196937
0.8250499999999173,1.94631091709489
0.8500499999999146,1.944613292717827
0.8750499999999118,1.9429112106426025
0.9000499999999091,1.9412046434610304
0.9250499999999063,1.9394935634991817
0.9500499999999036,1.9377779428138444
0.9750499999999008,1.9360577531889496
1.0000499999998982,1.9343329661319115
1.025049999999951,1.932603552869942
1.0500500000000037,1.9308694843462537
1.0750500000000565,1.9291307312162338
1.1000500000001092,1.9273872638435539
1.125050000000162,1.925639052296183
1.1500500000002147,1.9238860663423623
1.1750500000002675,1.9221282754464857
1.2000500000003202,1.9203656487649292
1.225050000000373,1.9185981551418
1.2500500000004258,1.916825763104603
1.2750500000004785,1.91504844085984
1.3000500000005313,1.913266156288532
1.325050000000584,1.9114788769416484
1.3500500000006368,1.9096865700354768
1.3750500000006896,1.907889202446889
1.4000500000007423,1.9060867407085353
1.425050000000795,1.904279151003947
1.4500500000008478,1.902466399162555
1.4750500000009006,1.900648450654606
1.5000500000009533,1.8988252705860036
1.525050000001006,1.8969968236930344
1.5500500000010589,1.895163074337024
1.5750500000011116,1.8933239864988667
1.6000500000011644,1.891479523773466
1.6250500000012171,1.8896296493640834
1.65005000000127,1.8877743260765534
1.6750500000013226,1.885913516313431
1.7000500000013754,1.884047182067973
1.7250500000014282,1.8821752849180655
1.750050000001481,1.8802977860200007
1.7750500000015337,1.8784146461021423
1.8000500000015864,1.8765258254584671
1.8250500000016392,1.874631283941992
1.850050000001692,1.872730980958067
1.8750500000017447,1.870824875457543
1.9000500000017975,1.8689129259297959
1.9250500000018502,1.866995090395636
1.950050000001903,1.8650713264000562
1.9750500000019557,1.8631415910048494
2.000050000002008,1.8612058407810785
2.02505000000195,1.8592640318014024
2.0500500000018915,1.857316119632227
2.0750500000018333,1.8553620593257372
2.100050000001775,1.8534018054117332
2.1250500000017167,1.8514353118893188
2.1500500000016585,1.8494625322184233
2.1750500000016,1.8474834193111411
2.200050000001542,1.8454979255229094
2.2250500000014837,1.8435060026434829
2.2500500000014254,1.841507601887745
2.275050000001367,1.839502673886317
2.300050000001309,1.8374911686759745
2.3250500000012506,1.8354730356898659
2.3500500000011924,1.8334482237475158
